Id,Nombre Establecimiento,Id Sector Económico,Descripción del Sector Económico,Latitud,Longitud,Área Geográfica
2994241,TISSU ALTA COSTURA,31,Confección de prendas de vestir sobre medida,25.65249484,-100.28193,"Monterrey, NUEVO LEÓN   "
3040327,ABARROTES TOMY,46,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",25.64914308,-100.2806634,"Monterrey, NUEVO LEÓN   "
10283181,ARTICULOS DE LIMPIEZA,46,Comercio al por menor de artículos desechables,25.64802598,-100.2813686,"Monterrey, NUEVO LEÓN   "
9413919,FARMACIAS SIMILARES SUC MONTERREY 98,46,Farmacias sin minisúper,25.65233404,-100.2818868,"Monterrey, NUEVO LEÓN   "
9601187,G-OPTICOS,46,Comercio al por menor de lentes,25.65240306,-100.2818312,"Monterrey, NUEVO LEÓN   "
10990094,GRANADA PAPELERIA Y DISEÑOS,46,Comercio al por menor de artículos de papelería,25.65240285,-100.2818111,"Monterrey, NUEVO LEÓN   "
3040161,LA MICHOACANA,46,Comercio al por menor de paletas de hielo y helados,25.65250435,-100.2819699,"Monterrey, NUEVO LEÓN   "
3040275,SUPER BOULEVARD,46,Comercio al por menor en minisupers,25.64899231,-100.280145,"Monterrey, NUEVO LEÓN   "
10075532,TENDENCE DECORACION DE INTERIORES,46,"Comercio al por menor de alfombras, cortinas, tapices y similares",25.65240285,-100.2818111,"Monterrey, NUEVO LEÓN   "
10662480,TILDE EDITORES Y CAFEBRERIA,51,Edición de libros integrada con la impresión,25.65245987,-100.2820506,"Monterrey, NUEVO LEÓN   "
10901520,GRUPO CAMVIA,54,Servicios de consultoría en medio ambiente,25.65143382,-100.2802828,"Monterrey, NUEVO LEÓN   "
9412247,RUTA MAYA TRAVEL,56,Agencias de viajes,25.65237917,-100.2816907,"Monterrey, NUEVO LEÓN   "
3040276,JARDIN DE NIÑOS ALFONSO MARTINEZ DOMINGUEZ,61,Escuelas de educación preescolar del sector público,25.64838855,-100.278842,"Monterrey, NUEVO LEÓN   "
3040267,CREESER,62,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado,25.65195244,-100.2812413,"Monterrey, NUEVO LEÓN   "
10981077,DENTSTA,62,Consultorios dentales del sector privado,25.65231366,-100.2802812,"Monterrey, NUEVO LEÓN   "
3040250,ODONTOLOGIA FAMILIAR GUTIERREZ,62,Consultorios dentales del sector privado,25.65166897,-100.2802196,"Monterrey, NUEVO LEÓN   "
8649183,PSICOLOGA,62,Consultorios de psicología del sector privado,25.65246644,-100.2818203,"Monterrey, NUEVO LEÓN   "
8368900,REABILITY MONTERREY,62,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje",25.65246644,-100.2818203,"Monterrey, NUEVO LEÓN   "
2994458,RESIDENCIA GERIATRICA,62,Asilos y otras residencias del sector privado para el cuidado de ancianos,25.65075177,-100.2801217,"Monterrey, NUEVO LEÓN   "
6217402,CAMPO DE FUTBOOL BUFALOS,71,Centros de acondicionamiento físico del sector privado,25.64970168,-100.2778139,"Monterrey, NUEVO LEÓN   "
3040274,IBVI LOTERIA Y PRONOSTICOS,71,"Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo",25.64855176,-100.2796704,"Monterrey, NUEVO LEÓN   "
9727367,IMPERIUM,71,Centros de acondicionamiento físico del sector privado,25.64719789,-100.28196,"Monterrey, NUEVO LEÓN   "
8970600,CLUB DE NUTRICION,72,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",25.65135198,-100.2802639,"Monterrey, NUEVO LEÓN   "
8368912,CORAS BURGUER,72,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",25.64914308,-100.2806634,"Monterrey, NUEVO LEÓN   "
11141129,FRAPE IDOL K SNAK,72,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",25.65232229,-100.280241,"Monterrey, NUEVO LEÓN   "
10238023,SUSHI WONG,72,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,25.64721495,-100.2818597,"Monterrey, NUEVO LEÓN   "
8297446,TACOS Y BURGERS EL GUERO HR,72,Restaurantes de autoservicio,25.65240295,-100.2818212,"Monterrey, NUEVO LEÓN   "
8368899,TAMALIZZA,72,Servicios de preparación de otros alimentos para consumo inmediato,25.65154087,-100.2809519,"Monterrey, NUEVO LEÓN   "
3040248,TORTAS URUGUAYAS,72,Restaurantes con servicio de preparación de tacos y tortas,25.65223106,-100.2801922,"Monterrey, NUEVO LEÓN   "
3040249,AUTOMOTRIZ DEL NORTE MECANICA EXPRESS,81,Reparación mecánica en general de automóviles y camiones,25.65226309,-100.2798015,"Monterrey, NUEVO LEÓN   "
2994504,BARBER PRIMAVERA,81,Salones y clínicas de belleza y peluquerías,25.6498469,-100.2803238,"Monterrey, NUEVO LEÓN   "
9744749,ELBENADO REARACION DE ELEVADORES Y VIDRIOS ELECTRICOS DE CARROS,81,Instalación de cristales y otras reparaciones a la carrocería de automóviles y camiones,25.65223958,-100.280142,"Monterrey, NUEVO LEÓN   "
10723564,ESTETICA ROSY,81,Salones y clínicas de belleza y peluquerías,25.65129746,-100.2802546,"Monterrey, NUEVO LEÓN   "
3040166,JOSE PELUQUERIA,81,Salones y clínicas de belleza y peluquerías,25.65226994,-100.2804318,"Monterrey, NUEVO LEÓN   "
3040273,LAVANDERIA SANTA ELENA,81,Lavanderías y tintorerías,25.64945181,-100.2798587,"Monterrey, NUEVO LEÓN   "
8844264,LAVANDERIAS Y TINTORERIAS SIN NOMBRE,81,Lavanderías y tintorerías,25.65155944,-100.2809917,"Monterrey, NUEVO LEÓN   "
9900275,NAILS COLORS,81,Salones y clínicas de belleza y peluquerías,25.65231344,-100.2802611,"Monterrey, NUEVO LEÓN   "
8440907,NAILS COLORS,81,Salones y clínicas de belleza y peluquerías,25.65182272,-100.2801776,"Monterrey, NUEVO LEÓN   "
10286931,TATTOO STUDIO,81,Salones y clínicas de belleza y peluquerías,25.65245694,-100.2817804,"Monterrey, NUEVO LEÓN   "
3040229,VETERINARIA ANIMALS,81,Otros servicios personales,25.65197159,-100.2813565,"Monterrey, NUEVO LEÓN   "
8524468,INSPECCION ESCOLAR ZONA 7,93,Actividades administrativas de instituciones de bienestar social,25.64823687,-100.2790742,"Monterrey, NUEVO LEÓN   "
